"geological_age","age_min","age_max","age_unit"
"?",NULL,NULL,NULL
"~148",NULL,NULL,NULL
"~50 Ma (Eocene)",NULL,NULL,NULL
"Cretaceous > Upper/Late > Campanian",NULL,NULL,NULL
"Cretaceous > Upper/Late > Campanian to Cretaceous > Upper/Late > Maastrichtian",NULL,NULL,NULL
"Cretaceous > Upper/Late > Cenomanian",NULL,NULL,NULL
"Cretaceous > Upper/Late > Cenomanian-Coniacian",NULL,NULL,NULL
"Cretaceous > Upper/Late > Coniacian",NULL,NULL,NULL
"Cretaceous > Upper/Late > Maastrichtian",NULL,NULL,NULL
"Cretaceous > Upper/Late > Santonian",NULL,NULL,NULL
"Cretaceous > Upper/Late > Turonian",NULL,NULL,NULL
"Cretaceous > Upper/Late to Paleogene > Eocene",NULL,NULL,NULL
"Cretaceous > Upper/Late to Paleogene > Paleocene",NULL,NULL,NULL
"Cretaceous 83+/-1.1 Ma 40Ar/39Ar on biotite. Abstract only",NULL,NULL,NULL
"Cretaceous inferred",NULL,NULL,NULL
"Cretaceous met'm?",NULL,NULL,NULL
"Cretaceous reworked (uncertain)",NULL,NULL,NULL
"Cretaceous to Jurassic",NULL,NULL,NULL
"Cretaceous to Tertiary",NULL,NULL,NULL
"Cretaceous(uncertain)",NULL,NULL,NULL
"Cretaceous, Albian",NULL,NULL,NULL
"Cretaceous, Albian?",NULL,NULL,NULL
"Cretaceous, Berriasian",NULL,NULL,NULL
"Cretaceous, Campanian",NULL,NULL,NULL
"Cretaceous, Campanian?",NULL,NULL,NULL
"Cretaceous, Cenomanian",NULL,NULL,NULL
"Cretaceous, Cenomanian-Turonian",NULL,NULL,NULL
"Cretaceous, Cenomanian or Turonian",NULL,NULL,NULL
"Cretaceous, Late Campanian",NULL,NULL,NULL
"Cretaceous, Santonian?",NULL,NULL,NULL
"Cretaceous, Turonian",NULL,NULL,NULL
"Cretaceous, Upper Turonian",NULL,NULL,NULL
"cretaceous/paleogene",NULL,NULL,NULL
"Cretaceous/Paleogene",NULL,NULL,NULL
"Cretaceous?",NULL,NULL,NULL
"Cretaceuous",NULL,NULL,NULL
"Cryogenian","700",NULL,"Ma"
"Cryogenian",NULL,NULL,NULL
"Cryogenian-Ediacaran",NULL,NULL,NULL
"Danian",NULL,NULL,NULL
"Dapingian",NULL,NULL,NULL
"Darriwilian","458.4","467.3","Ma"
"Darriwilian","465","467.3","Ma"
"Darriwilian","465.5","467.3","Ma"
"Desmoinesian",NULL,NULL,NULL
"Dev-Miss",NULL,NULL,NULL
"Dev-Miss?",NULL,NULL,NULL
"Devonian","358","416","million years (Ma)"
"Devonian","590.2",NULL,"million years (Ma)"
"Devonian",NULL,NULL,NULL
"Devonian ","358","416","million years (Ma)"
"Devonian > Lower/Early",NULL,NULL,NULL
"Devonian > Middle",NULL,NULL,NULL
"Devonian > Upper/Late",NULL,NULL,NULL
"Devonian to Mississippian",NULL,NULL,NULL
"Devonian, Framennian",NULL,NULL,NULL
"Devonian, Frasnian",NULL,NULL,NULL
"Devonian/Mississippian",NULL,NULL,NULL
"Devonian?",NULL,NULL,NULL
"Earliest Permian?",NULL,NULL,NULL
"Early-Middle Triassic",NULL,NULL,NULL
"early Archean",NULL,"3470","Ma"
"early Cambrian",NULL,NULL,NULL
"Early Cambrian",NULL,NULL,NULL
"early Cretaceous",NULL,NULL,NULL
"Early Cretaceous",NULL,NULL,NULL
"Early Cretaceous ",NULL,NULL,NULL
"Early Cretaceous?",NULL,NULL,NULL
"Early Eocene","49","53","Ma"
"Early Eocene","50","54","Ma"
"Early Eocene","57","61","Ma"
"Early Eocene",NULL,NULL,NULL
"Early Eocene, Ypresioan (Wasatchian?)","50.3","55.8","Ma"
"Early Eocene, Ypresioan (Wasatchian?) ","50.3","55.8","Ma"
"Early Holocene",NULL,NULL,NULL
"Early Jurassic","200","201.2","million years (Ma)"
"early Miocene",NULL,NULL,NULL
"Early Miocene","17.5","17.9","Ma"
"Early Norian",NULL,NULL,NULL
"Early Norian, Triassic",NULL,NULL,NULL
"Early Paleozoic",NULL,NULL,NULL
"early Permian",NULL,NULL,NULL
"Early Permian","275","295","million years (Ma)"
"Early Pleistocene","500000","2000000","years"
"Early Pliocene",NULL,NULL,NULL
"early Proterozoic",NULL,"2490","Ma"
"Early Zanclean",NULL,NULL,NULL
"Ediacaran","635",NULL,"635"
"Ediacaran",NULL,NULL,NULL
"Ediacaran?",NULL,NULL,NULL
"Ediacarran? Or Devonian?",NULL,NULL,NULL
"Eifelian",NULL,NULL,NULL
"Emsian","387.7","404","Ma"
"Emsian","404","410.8","Ma"
"Emsian (Late Devonian)",NULL,NULL,NULL
"Eocene","28.92784","47.42625","38.58"
"Eocene","31.35057","44.67117","38.28"
"Eocene","32.1556","43.57772","35.337"
"Eocene","32.73686","46.66895","39.32"
"Eocene","33.9","37.8","million years (Ma)"
"Eocene","33.9","56","Ma"
"Eocene","33.9","56","million years (Ma)"
"Eocene","34","34.75",NULL
"Eocene","34","55","Million years (Ma)"
"Eocene","34.05305","50.59802","39.39"
"Eocene","34.37227","41.15428","38.5"
"Eocene","34.3862","42.95203","37.4"
"Eocene","34.60358","50.98119","37.83"
"Eocene","34.75","35",NULL
"Eocene","35.4","56.5","million years (Ma)"
"Eocene","35.6","36.4",NULL
"Eocene","36",NULL,"Ma"
"Eocene","37","38",NULL
"Eocene","37.8","41.2","million years (Ma)"
"Eocene","40",NULL,"million years (Ma)"
"Eocene","46","49","Ma"
"Eocene","49","52","Ma"
"Eocene","50","52","Ma"
"Eocene","50",NULL,"million years (Ma)"
"Eocene","56.5","65","million years (Ma)"
"Eocene",NULL,NULL,NULL
"Eocene--Miocene",NULL,NULL,NULL
"Eocene--Oligocene",NULL,NULL,NULL
"Eocene-Oligocene","5.3","33.9","Ma"
"Eocene-Oligocene","23","56","Ma"
"Eocene-Oligocene","23","56","million years (Ma)"
"Eocene -mixed ages",NULL,NULL,NULL
"Eocene (uncertain)",NULL,NULL,NULL
"Eocene (uncertain) or contamination",NULL,NULL,NULL
"Eocene contamination",NULL,NULL,NULL
"Eocene or younger",NULL,NULL,NULL
"Eocene probably",NULL,NULL,NULL
"Eocene(uncertain)",NULL,NULL,NULL
"Eocene/Oligocene or 
contamination",NULL,NULL,NULL
"Eocene?",NULL,NULL,NULL
"Eocne",NULL,NULL,NULL
"Famennian",NULL,NULL,NULL
"Famennian-Tournaisian (Late Devonian-Early Carboniferous)",NULL,"376.4",NULL
"Famennian-Tournaisian (Late Devonian-Early Carboniferous)",NULL,"620.8","million years (Ma)"
"Famennian (Late Devonian)",NULL,"538.1","million years (Ma)"
"Famennian (Late Devonian)",NULL,"557","million years (Ma)"
"Floian","470","470.5","Ma"
"Floian","470.5","472.5","Ma"
"Floian","472.5","476","Ma"
"Floian","476","477.7","Ma"
"Frasnian",NULL,NULL,NULL
"Furongian","485.4","489.5","Ma"
"Furongian","489.5","494","Ma"
