"sample_type_id","depth_min","depth_max","depth_scale","elevation","elevation_end","vertical_datum"
2,NULL,NULL,NULL,"2053.7",NULL,NULL
2,NULL,NULL,NULL,"116.43","1219.2",NULL
1,NULL,NULL,NULL,"-1831.69680308",NULL,NULL
2,NULL,NULL,NULL,"580","337","MSL"
1,NULL,NULL,NULL,"2019",NULL,NULL
2,NULL,NULL,NULL,"-19",NULL,NULL
1,NULL,NULL,NULL,"-1474.22",NULL,NULL
2,NULL,NULL,NULL,"731",NULL,NULL
2,NULL,NULL,NULL,"203.3","469.39",NULL
2,NULL,NULL,NULL,"196.6","780.29",NULL
2,NULL,NULL,NULL,"1227.8","1080","MSL"
2,NULL,NULL,NULL,"163.37","771.14",NULL
2,NULL,NULL,NULL,"99.06","1155.19",NULL
2,NULL,NULL,NULL,"136.25","1201.83",NULL
2,NULL,NULL,NULL,"-5673.6",NULL,NULL
2,NULL,NULL,NULL,"152.7","609.6",NULL
2,NULL,NULL,NULL,"335","-12385",NULL
2,NULL,NULL,NULL,"57.91","-943.36",NULL
1,NULL,NULL,NULL,"-1727.47944",NULL,NULL
1,NULL,NULL,NULL,"-1313.67",NULL,NULL
1,NULL,NULL,NULL,"-1516.07",NULL,NULL
1,NULL,NULL,NULL,"-3740",NULL,NULL
1,NULL,NULL,NULL,"-2369.65",NULL,NULL
2,NULL,NULL,NULL,"164.59","536.45",NULL
2,NULL,NULL,NULL,"-4812.6",NULL,NULL
1,NULL,NULL,NULL,"156",NULL,NULL
2,NULL,NULL,NULL,"152.1","534.62",NULL
2,NULL,NULL,NULL,"172.21","618.74",NULL
2,NULL,NULL,NULL,"-15.8","-34.8",NULL
2,NULL,NULL,NULL,"156.06","306.93",NULL
2,NULL,NULL,NULL,"1884.52",NULL,NULL
2,NULL,NULL,NULL,"198.12","84.12",NULL
2,NULL,NULL,NULL,"-3794.5",NULL,NULL
2,NULL,NULL,NULL,"164.59","533.4",NULL
2,NULL,NULL,NULL,"122.53","937.26",NULL
