classification_id,material_id,classification_label,label,description,material_role_id
3018,3018,Hutchinsonite,Hutchinsonite,,
3019,3019,Huttonite,Huttonite,,
3020,3020,Hyalophane,Hyalophane,,
3021,3021,Hyalotekite,Hyalotekite,,
3022,3022,Hydroastrophyllite,Hydroastrophyllite,,
3023,3023,Hydrobasaluminite,Hydrobasaluminite,,
3024,3024,Hydrobiotite,Hydrobiotite,,
3025,3025,Hydroboracite,Hydroboracite,,
3026,3026,Hydrocalumite,Hydrocalumite,,
3027,3027,Hydrocerussite,Hydrocerussite,,
3028,3028,Hydrochlorborite,Hydrochlorborite,,
3029,3029,Hydrodelhayelite,Hydrodelhayelite,,
3030,3030,Hydrodresserite,Hydrodresserite,,
3031,3031,Hydroglauberite,Hydroglauberite,,
3032,3032,HydrogrossularSeries,HydrogrossularSeries,,
3033,3033,Hydrohalite,Hydrohalite,,
3034,3034,Hydrohetaerolite,Hydrohetaerolite,,
3035,3035,Hydrohonessite,Hydrohonessite,,
3036,3036,Hydromagnesite,Hydromagnesite,,
3037,3037,Hydrombobomkulite,Hydrombobomkulite,,
3038,3038,Hydromolysite,Hydromolysite,,
3039,3039,HydroniumJarosite,HydroniumJarosite,,
3040,3040,Hydrophilite,Hydrophilite,,
3041,3041,Hydrophosphate,Hydrophosphate,,
3042,3042,Hydroromarchite,Hydroromarchite,,
3043,3043,Hydroscarbroite,Hydroscarbroite,,
3044,3044,Hydrotalcite,Hydrotalcite,,
3045,3045,Hydrotungstite,Hydrotungstite,,
3046,3046,Hydrougrandite,Hydrougrandite,,
3047,3047,Hydrowoodwardite,Hydrowoodwardite,,
3048,3048,Hydroxyapophyllite,Hydroxyapophyllite,,
3049,3049,Hydroxycancrinite,Hydroxycancrinite,,
3050,3050,Hydroxylapatite,Hydroxylapatite,,
3051,3051,Hydroxylbastnaesite,Hydroxylbastnaesite,,
3052,3052,Hydroxylbastnaesite-(Ce),Hydroxylbastnaesite-(Ce),,
3053,3053,Hydroxylbastnaesite-(La),Hydroxylbastnaesite-(La),,
3054,3054,Hydroxylbastnaesite-(Nd),Hydroxylbastnaesite-(Nd),,
3055,3055,Hydroxylclinohumite,Hydroxylclinohumite,,
3056,3056,Hydroxylellestadite,Hydroxylellestadite,,
3057,3057,Hydroxylherderite,Hydroxylherderite,,
3058,3058,Hydrozincite,Hydrozincite,,
3059,3059,Hypercinnabar,Hypercinnabar,,
3060,3060,Hypersthene,Hypersthene,,
3061,3061,Hyttsjoite,Hyttsjoite,,
3062,3062,Haggite,Haggite,,
3063,3063,Hogbomite,Hogbomite,,
3064,3064,Hornesite,Hornesite,,
3065,3065,Hubnerite,Hubnerite,,
3066,3066,Hugelite,Hugelite,,
3067,3067,Ianthinite,Ianthinite,,
3068,3068,Ice,Water Ice,Water that is in a solid state.,
3069,3069,Idaite,Idaite,,
3070,3070,Idrialite,Idrialite,,
3071,3071,Iimoriite-(Y),Iimoriite-(Y),,
3072,3072,Ikaite,Ikaite,,
3073,3073,Ikunolite,Ikunolite,,
3074,3074,Ilesite,Ilesite,,
3075,3075,Ilimaussite-(Ce),Ilimaussite-(Ce),,
3076,3076,Ilinskite,Ilinskite,,
3077,3077,Illite,Illite,,
3078,3078,Ilmajokite,Ilmajokite,,
3079,3079,Ilmenite,Ilmenite,,
3080,3080,Ilmenorutile,Ilmenorutile,,
3081,3081,Ilsemannite,Ilsemannite,,
3082,3082,Iltisite,Iltisite,,
3083,3083,Ilvaite,Ilvaite,,
3084,3084,Imandrite,Imandrite,,
3085,3085,Imgreite,Imgreite,,
3086,3086,Imhofite,Imhofite,,
3087,3087,Imiterite,Imiterite,,
3088,3088,Imogolite,Imogolite,,
3089,3089,Inaglyite,Inaglyite,,
3090,3090,Incaite,Incaite,,
3091,3091,Inderborite,Inderborite,,
3092,3092,Inderite,Inderite,,
3093,3093,Indialite,Indialite,,
3094,3094,Indigirite,Indigirite,,
3095,3095,Indite,Indite,,
3096,3096,Indium,Indium,,
3097,3097,Inesite,Inesite,,
3098,3098,Ingersonite,Ingersonite,,
3099,3099,Ingodite,Ingodite,,
3100,3100,Innelite,Innelite,,
3101,3101,Insizwaite,Insizwaite,,
3102,3102,Intersilite,Intersilite,,
3103,3103,Inyoite,Inyoite,,
3104,3104,Iodargyrite,Iodargyrite,,
3105,3105,Iowaite,Iowaite,,
3106,3106,Iquiqueite,Iquiqueite,,
3107,3107,Iranite,Iranite,,
3108,3108,Iraqite-(La),Iraqite-(La),,
3109,3109,Irarsite,Irarsite,,
3110,3110,Irhtemite,Irhtemite,,
3111,3111,Iridarsenite,Iridarsenite,,
3112,3112,Iridium,Iridium,,
3113,3113,Iridosmine,Iridosmine,,
3114,3114,Iriginite,Iriginite,,
3115,3115,Iron,Iron,,
3116,3116,Irtyshite,Irtyshite,,
3117,3117,Ishikawaite,Ishikawaite,,
3118,3118,Isoclasite,Isoclasite,,
3119,3119,Isocubanite,Isocubanite,,
3120,3120,Isoferroplatinum,Isoferroplatinum,,
3121,3121,Isokite,Isokite,,
3122,3122,Isolueshite,Isolueshite,,
3123,3123,Isomertieite,Isomertieite,,
3124,3124,Isovite,Isovite,,
3125,3125,Itoigawaite,Itoigawaite,,
3126,3126,Itoite,Itoite,,
3127,3127,Iwakiite,Iwakiite,,
3128,3128,Ixiolite,Ixiolite,,
3129,3129,Izoklakeite,Izoklakeite,,
3130,3130,Jachymovite,Jachymovite,,
3131,3131,Jacobsite,Jacobsite,,
3132,3132,Jadeite,Jadeite,,
3133,3133,Jaffeite,Jaffeite,,
3134,3134,Jagoite,Jagoite,,
3135,3135,Jagowerite,Jagowerite,,
3136,3136,Jahnsite,Jahnsite,,
3137,3137,Jahnsite-(CaMnFe),Jahnsite-(CaMnFe),,
3138,3138,Jahnsite-(CaMnMg),Jahnsite-(CaMnMg),,
3139,3139,Jahnsite-(CaMnMn),Jahnsite-(CaMnMn),,
3140,3140,Jalpaite,Jalpaite,,
3141,3141,Jamborite,Jamborite,,
3142,3142,Jamesite,Jamesite,,
