"platform_name","platform_type"
"Orca Basin","Ship"
"Palmer","Ship"
"Parizeau","Ship"
"PELICAN","Ship"
"Pillsbury","Ship"
"Pilsbury","Ship"
"Pisces IV","Ship"
"Pisces IV?",NULL
"Platform name","Platform type"
"POINT SUR","Ship"
"Polar Duke","Ship"
"Polar Star","Ship"
"Polar Stern","ship"
"Polarstern","Ship"
"Pourquoi Pas","ship"
"Pourquoi Pas ?","ship"
"Pourquoi Pas ?",NULL
"Pourquoi Pas ? ","ship"
"Pourquoi Pas ? ",NULL
"Pourquoi Pas?","Ship"
"POURQUOIPAS?","SHIP"
"Prof. Shtockman","Ship"
"Prof. Shtokman","Ship"
"PT INCO",NULL
"Quest","Ship"
"R.V. Thompson","Ship"
"R/V Aegaeo",NULL
"R/V Agulhas",NULL
"R/V Akademik",NULL
"R/V Akademik Boris Petrov","ship"
"R/V Akademik Boris Petrov",NULL
"R/V Akademik Kurchatov",NULL
"R/V APALACHEE","R/V"
"R/V Atlantis","Ship"
"R/V Atlantis",NULL
"r/v Atlantis II","ship"
"R/V Atlantis II","ship"
"R/V Atlantis II","Ship"
"R/V Atlantis II",NULL
"R/V Billie",NULL
"R/V Bjarni Saemundsson",NULL
"R/V Blue Heron","Ship"
"R/V Brown Bear","Ship"
"r/v Chain","ship"
"r/v Chain","Ship"
"R/V Chain",NULL
"R/V Charles Darwin","Ship"
"R/V Coastal Profiler","Ship"
"R/V Donald Pritchard","Ship"
"r/v Endeavor","ship"
"R/V Endeavor","Ship"
"R/V Endeavor",NULL
"R/V Falkor","Ship"
"R/V Falkor (too)","Ship"
"R/V Gilliss",NULL
"R/V Hakurei-maru",NULL
"R/V Hakurei-Maru","Ship"
"R/V Hakurei-MARU","Ship"
"R/V Italica","ship"
"R/V Jean Charcot","ship"
"R/V Jean Charcot",NULL
"R/V JOIDES Resolution","Ship"
"R/V Kaimikai-o-Kanaloa","Ship"
"R/V Kairei","Ship"
"R/V Kaiyo",NULL
"R/V Kana Keoki",NULL
"R/V KANA KEOKI","SHIP"
"R/V Kelez","Ship"
"R/V Kilo Moana","Ship"
