s	label	match
<https://w3id.org/geochem/1.0/mingroup/29239>	Axinite Group	<https://www.mindat.org/1:1:29239:7>
gcmin:axinite-fe	Axinite-(Fe)	<https://www.mindat.org/1:1:1459:1>
gcmin:axinite-mg	Axinite-(Mg)	<https://www.mindat.org/1:1:2490:3>
gcmin:axinite-mn	Axinite-(Mn)	<https://www.mindat.org/1:1:2502:3>
gcmin:azoproite	Azoproite	<https://www.mindat.org/1:1:442:8>
gcmin:azurite	Azurite	<https://www.mindat.org/1:1:447:3>
gcmin:babefphite	Babefphite	<https://www.mindat.org/1:1:476:5>
gcmin:babingtonite	Babingtonite	<https://www.mindat.org/1:1:478:3>
gcmin:babkinite	Babkinite	<https://www.mindat.org/1:1:6812:9>
gcmin:babanekite	Babánekite	<https://www.mindat.org/1:1:42750:4>
gcmin:backite	Backite	<https://www.mindat.org/1:1:46057:2>
gcmin:baddeleyite	Baddeleyite	<https://www.mindat.org/1:1:480:8>
<https://w3id.org/geochem/1.0/mingroup/52658>	Baddeleyite Group	<https://www.mindat.org/1:1:52658:6>
gcmin:bafertisite	Bafertisite	<https://www.mindat.org/1:1:482:6>
<https://w3id.org/geochem/1.0/mingroup/50369>	Bafertisite Group	<https://www.mindat.org/1:1:50369:1>
gcmin:baghdadite	Baghdadite	<https://www.mindat.org/1:1:483:5>
gcmin:bahianite	Bahianite	<https://www.mindat.org/1:1:484:4>
gcmin:baileychlore	Baileychlore	<https://www.mindat.org/1:1:488:0>
gcmin:bairdite	Bairdite	<https://www.mindat.org/1:1:43583:1>
gcmin:bakhchisaraitsevite	Bakhchisaraitsevite	<https://www.mindat.org/1:1:7074:0>
gcmin:baksanite	Baksanite	<https://www.mindat.org/1:1:6814:3>
gcmin:balangeroite	Balangeroite	<https://www.mindat.org/1:1:492:3>
gcmin:balipholite	Balipholite	<https://www.mindat.org/1:1:495:0>
gcmin:balkanite	Balkanite	<https://www.mindat.org/1:1:496:9>
gcmin:balliranoite	Balliranoite	<https://www.mindat.org/1:1:39332:2>
gcmin:balyakinite	Balyakinite	<https://www.mindat.org/1:1:501:0>
gcmin:bambollaite	Bambollaite	<https://www.mindat.org/1:1:502:9>
gcmin:bamfordite	Bamfordite	<https://www.mindat.org/1:1:6815:0>
gcmin:banalsite	Banalsite	<https://www.mindat.org/1:1:504:7>
gcmin:bandylite	Bandylite	<https://www.mindat.org/1:1:506:5>
gcmin:bannermanite	Bannermanite	<https://www.mindat.org/1:1:508:3>
gcmin:bannisterite	Bannisterite	<https://www.mindat.org/1:1:509:2>
gcmin:baotite	Baotite	<https://www.mindat.org/1:1:510:8>
gcmin:barahonaite-al	Barahonaite-(Al)	<https://www.mindat.org/1:1:31728:9>
gcmin:barahonaite-fe	Barahonaite-(Fe)	<https://www.mindat.org/1:1:32159:2>
gcmin:bararite	Bararite	<https://www.mindat.org/1:1:511:7>
gcmin:baratovite	Baratovite	<https://www.mindat.org/1:1:512:6>
gcmin:barberiite	Barberiite	<https://www.mindat.org/1:1:513:5>
gcmin:barbosalite	Barbosalite	<https://www.mindat.org/1:1:516:2>
gcmin:barentsite	Barentsite	<https://www.mindat.org/1:1:520:5>
gcmin:bariandite	Bariandite	<https://www.mindat.org/1:1:522:3>
gcmin:baricite	Baricite	<https://www.mindat.org/1:1:524:1>
gcmin:barikaite	Barikaite	<https://www.mindat.org/1:1:43578:9>
gcmin:bario-olgite	Bario-olgite	<https://www.mindat.org/1:1:26520:5>
gcmin:bario-orthojoaquinite	Bario-orthojoaquinite	<https://www.mindat.org/1:1:525:0>
gcmin:barioferrite	Barioferrite	<https://www.mindat.org/1:1:39567:6>
gcmin:barioperovskite	Barioperovskite	<https://www.mindat.org/1:1:31404:2>
gcmin:bariopharmacoalumite	Bariopharmacoalumite	<https://www.mindat.org/1:1:40283:3>
gcmin:bariopharmacosiderite	Bariopharmacosiderite	<https://www.mindat.org/1:1:472:9>
gcmin:bariopharmacosiderite-q	Bariopharmacosiderite-Q	<https://www.mindat.org/1:1:46249:1>
gcmin:bariosincosite	Bariosincosite	<https://www.mindat.org/1:1:6816:7>
gcmin:barlowite	Barlowite	<https://www.mindat.org/1:1:40276:3>
gcmin:barnesite	Barnesite	<https://www.mindat.org/1:1:533:9>
gcmin:barquillite	Barquillite	<https://www.mindat.org/1:1:6820:4>
gcmin:barrerite	Barrerite	<https://www.mindat.org/1:1:536:6>
