"locality","locality_description"
NULL,"Predazzo (Near), Roda"
NULL,"Predazzo (Near), Tirol"
NULL,"Predazzo, Canzoccoli"
NULL,"Predborice, Stredocesky Kraj., Cechy"
NULL,"Predil, Friuli-Venezia"
NULL,"Predil, Raibl"
NULL,"Prehistoric Airfall Exposed In Recently Cut Wall Of Mudflow Channel On Way To Resthouse At Anuling"
NULL,"Prehistoric Airfall. Same Locality As 111155. Lower Most Of Two Lapilli- Rich Airfall Layers.; Near Anuling"
NULL,"Prehistoric Airfall. Same Locality As 111155.; Near Anuling"
NULL,"Prehistoric Flow"
NULL,"Prehistoric flow Pauahi Crater, south wall"
NULL,"Prehistoric Kilauea Flow"
NULL,"Prehistoric Layer About 2 Ft Below Present Surface, In Roadcut About 600 Ft Downslope From Destroyed Resthouse Near Anuling In Outer Sear Zone"
NULL,"Prehistoric Pumiceous Airfall At An Elevation Of 1215 Ft Along Road To Destroyed Resthouse Near Anuling. Upper Of Two Pumiceous Layers"
NULL,"Prehistoric Splash From Cone Crater, Sw Rift Zone. T. L. Wright Sample No. Twl-67-17 (anal.)"
NULL,"Prehistoric, Collected From Walls Of Mudflow Channel North Of Matang: Elevation-875 Ft"
NULL,"Prehistoric, unit 2, layer 2, site 19"
NULL,"Preissac, Cadillac District"
NULL,"Prelouc (Near), Litosice"
NULL,"Premier kimberlite, 28 km ENE of Pretoria"
NULL,"Premier kimberlite, 28 km ENE of Pretoria; dump"
NULL,"Presa Guadalupe Victoria (dam)"
NULL,"Prescott"
NULL,"Prescott (Near), Meyers Station"
NULL,"President Claim"
NULL,"Presov"
NULL,"Presquille De Crozon"
NULL,"Presses Nob; Ridgecrest"
NULL,"Pressignae; Et Charente"
NULL,"Prestegarden, Manger, North of Buagin"
NULL,"Preston (N Of)"
NULL,"Pretoria"
NULL,"Pretoria (Near), Buffelsfontein"
NULL,"Pretoria, Monument Park, Extension Number 2"
NULL,"Pretoria, Republic of South Africa, Republic of South Africa"
NULL,"Pretulalpe"
NULL,"Prevalje"
NULL,"Prewitt"
NULL,"Prezniok"
NULL,"PRI Station 778"
NULL,"Pribaykalye (N)"
NULL,"Pribram"
NULL,"Pribram (?)"
NULL,"Pribram (Near)"
NULL,"Pribram (Near), Brezove Hory"
NULL,"Pribram (Near), Vrancice"
NULL,"Pribram (S Of), Vrancice"
NULL,"Pribram, Czechoslovakia, Bohemia, Czechoslovakia"
NULL,"Pribram, Czechoslovakia, Czechoslovakia"
NULL,"Pribram, Johanngang"
NULL,"Pribram, Kutna Hora"
NULL,"Pribram, Mariagang"
NULL,"Pribram, Mariaschacht"
NULL,"Pribram, Stredocesky Region"
NULL,"Pribram, Trebsko"
NULL,"Pribram, Vrancice"
NULL,"Prices Spring Station, Grove Hill"
NULL,"Pricetown"
NULL,"Prickly Pear District"
NULL,"Priday (fulton) Ranch Near Antelope"
NULL,"Priday Ranch"
NULL,"Priday Ranch; E Of Antelope"
NULL,"Priddy"
NULL,"Priddy, Mendip Hills, Higher Pitts"
NULL,"Pride of the West"
NULL,"Pride of the West Mine; Cunningham Gulch"
NULL,"Pridy Ranch"
NULL,"Prieska"
NULL,"Prieska District, Keikams Poort"
NULL,"Prilep"
NULL,"Prilep (Near), Crni Kamen"
NULL,"Prilep (Near), Sivec, Marmor Steinbruck"
NULL,"Primorye"
NULL,"Princa Puta ?, Unknown"
NULL,"Prince Mountain, Darnstadt"
NULL,"Prince Of Wales-Outer Ketchikan Division"
NULL,"Prince of Wales Island"
NULL,"Prince Rupert"
NULL,"Prince Springs; Grove Hill"
NULL,"Prince William Parish"
NULL,"Prince William Sound, Landlocked Bay; Ellamar District"
NULL,"Prince William Sound; Ellamar District"
NULL,"Princeton"
NULL,"Principal Prospect On Mcdevitt Creek; Near Salmon"
NULL,"Prine"
NULL,"Prineville"
NULL,"Pringe (5 Mi E Of)"
NULL,"Pringle"
NULL,"Pringle (6 Mi E Of)"
NULL,"Pringle (Near)"
NULL,"Prins Karls Forland, Svalbard"
NULL,"Prinzenstein, Saint Goar"
NULL,"Prinzenstein, Saint Goar (Near)"
NULL,"Prior Mtns"
NULL,"Prisecnice"
NULL,"Prisecnice, Severocesky Region"
NULL,"Prisgrund"
NULL,"Private Road Section"
NULL,"Private Road Section, In Creekbed"
NULL,"Private Road Section; Creek Bed"
NULL,"Private Road Section; Outcrop On Hill Slope W Of Road"
NULL,"Prizbram, Czechoslovakia, Bohemia, Czechoslovakia"
NULL,"Probably Andover Twp; 3.5 Mi Sw Of Ludlow Station"
NULL,"probably bowlder. West of Crystal Crk"
NULL,"Probably Engineers Lease"
NULL,"probably fed from Eagle Rock fissure (uncertain because tuff has been eroded in intervening 1/2 mile)"
NULL,"Probably from aqueduct excavation W of point where aqueduct goes under craters"
NULL,"probably from dome #1"
NULL,"probably from dome #11"
NULL,"probably from dome #12"
NULL,"probably from dome #16"
NULL,"probably from dome #17"
NULL,"probably from dome #2"
NULL,"probably from dome #23"
NULL,"probably from dome #25"
NULL,"probably from dome #29"
NULL,"probably from dome #37"
NULL,"probably from dome #38"
NULL,"probably from dome #9"
NULL,"Probably From Gully S Of Mg410 Road, Downhill From High Sandstone Exposures In Roadcut"
NULL,"Probably from Magnet Cove Titanium Corp. Deposit 18; T3S R17W"
NULL,"probably from top of dome"
NULL,"Probably Xenolith Derived Either From Current Or Past Eruptive"
NULL,"Probably Yingxian Field; 11 Km Ne Of Yingxian Town"
NULL,"Proboschl (Near), Zalezly"
NULL,"Probstzella"
NULL,"Profitt, Charlottesville (6 Mi N Of)"
NULL,"Progreso, Iquique"
NULL,"Prominent ledge; 2.37 mi. SW La Sotella BM 8692"
NULL,"Prominent Z vein at Neist"
NULL,"Promontory at Prince Charles's Point"
NULL,"promontory between Canon del Buey and Mortandad Canyon"
NULL,"Promontory Between Pleasant And Stocking Flats"
NULL,"Promontory Park, Clackamas River"
NULL,"Promontory Park, Estacada"
NULL,"Propst Farm"
NULL,"Prospect"
NULL,"Prospect 1 mi. NW of Betts Cove Mine"
NULL,"Prospect 1.25 Mi Sw Of Black Warrior"
NULL,"Prospect 34"
NULL,"Prospect At Head Of Fleetwood Creek"
NULL,"Prospect Dump At Junction Of Gulches W. Of Herkimer Prospect Prospect"
NULL,"Prospect Hole Ne Of Highest Point On Spur Running South From Road Fork At Diamond Pass"
NULL,"Prospect hole on east side Elk of Creek near trail from Iron Spring Road to Elk Basin"
NULL,"Prospect hole south side Mountain Emmons near top"
NULL,"Prospect In Pinal Schist, Schultz Ranch"
NULL,"Prospect Knob"
NULL,"Prospect N.w. Of Nueva Gerona"
NULL,"Prospect near Benson"
NULL,"Prospect Near Click Creek"
NULL,"Prospect Near Sw Corner Sec. 33, T.2s, R8w"
NULL,"Prospect No. 2 Uphill, N. Of Cabin Site"
NULL,"Prospect No. 2, Up Hill N. Of Cabin Site"
NULL,"Prospect No. 2, Uphill N Of Cabin Site"
NULL,"Prospect On E Side Of Peak Ese Of Tip Top Mt"
NULL,"Prospect On Falls Branch; 3 Mi Se Of Tellico Station"
NULL,"Prospect On Falls Branch; 3 Mi Sse Of Tellico Station"
NULL,"Prospect On Hill"
NULL,"Prospect On Laurel Creek; 1 Mi Se Of Tellico Station"
NULL,"Prospect On Laurel Creek; 2 Mi Se Of Tellico Station"
NULL,"Prospect On S Side Of Saddle, .5mi Se Of The Mountain Pride Mine"
NULL,"Prospect Park"
NULL,"Prospect Park Quarry"
NULL,"Prospect Park, Patterson"
NULL,"Prospect Peak Ridge"
NULL,"Prospect Pit 1 In Woods Above Small Creek"
NULL,"Prospect pit 20 m E of North prospect pit; NE NW SE SW SW 27, T44N, R31W"
NULL,"Prospect Pit In S Fork Of Sammon's Gulch"
NULL,"Prospect Pit Next To Drill Hole, W Of Trench"
NULL,"prospect pit, at divide head of canyon"
NULL,"Prospect pit; 1 1/4 mi SSE of peak"
NULL,"Prospect pits E side of Mt; just above basal breccia"
NULL,"Prospect S Of The Sandstorm Mine"
NULL,"Prospect Shaft"
NULL,"Prospect Shaft Graham Park, S Of City Of Paris Shaft"
NULL,"Prospect Shaft; E. Of Graham Gulch"
NULL,"Prospect South Center Sec. 19, T5n, R.2w"
NULL,"Prospect Tunnel On Pinto Creek, Bloody Tanks Area"
NULL,"Prospect Tunnel; Nnw Of Metcalf"
NULL,"Prospect, Mouth Of Creek E. Of Bluff Creek"
NULL,"Prospect, North Of Glorietta"
NULL,"Prospect, Unionville (5 Mi S Of Helena)"
NULL,"Prospectus Vein"
NULL,"Prosperity"
NULL,"Providence"
NULL,"Providence Ditch"
NULL,"Providence Mtn"
NULL,"Providencia"
NULL,"Province Of Huarachira, Chicla"
NULL,"Province Of Nertschinsk, USSR, USSR"
NULL,"Province Of Una, Matico"
NULL,"Prtz"
NULL,"Prussia"
NULL,"Prussia, Eisleben"
NULL,"Prussian Lead Works"
NULL,"Pt Seraud, Camora, Unknown"
NULL,"Pt. 5116, S. Of Heuchs Mill"
NULL,"Pt. 5355, 2000 Ft W Of Red Jacket"
NULL,"Pt. 5528 Just S. Of Roux Ranch"
NULL,"Pt. 5550, E. Of Ani Ravine"
NULL,"Pt. 5619 - W. Of Devils Gate"
NULL,"Pt. 6056 - 3000 Ft. N. Forman Shaft"
NULL,"Pt. 6734, S-se Of Mcclellan Peak"
NULL,"Pt. 6750 E. Of Mcclellan Peak"
NULL,"Pt. 6801, 1500 Ft. Nw Sacramento Mine"
NULL,"Pt. 7197, 4500 Ft. W. Geiger"
NULL,"Pt. Marked 7000, N. Of Crown Pt. Ravine"
NULL,"Pt. Se Of Wakefield Peak, Marked 6600"
NULL,"Pte De Kifkales"
NULL,"Pticairn"
NULL,"Pu'u Haiwahine"
NULL,"public diamond collecting field; near Murfreesboro"
NULL,"Pucher Shaft"
NULL,"Pucov"
NULL,"Puebla"
NULL,"Puebla-Morelos border"
NULL,"Puebla, Tetela Del Oro"
NULL,"Pueblo (Near)"
NULL,"Pueblo (Near), Dakota Sandstone"
NULL,"Pueblo (Se Of)"
NULL,"Pueblo Hundido Near Empalme, Km 99 Chanaral Rr"
NULL,"Pueblo Nueva site, unit 1"
NULL,"Pueblo Nueva site, unit 2"
NULL,"Pueblo Nueva site, unit 3"
NULL,"Pueblo Nueva site, unit 4"
NULL,"Pueblo Nueva site, unit 4, El Tajo sequence"
NULL,"Pueblo Nueva site, unit 5"
NULL,"Pueblo Nueva site, unit 5, El Tajo sequence"
NULL,"Pueblo Nueva site, unit 6"
NULL,"Pueblo Nueva site, unit 7"
NULL,"Pueblo Nueva site, unit 8"
NULL,"Pueblo Nueva site, unit 9, El Tajo Sequencr"
NULL,"Pueblo Nueva, site unit 7"
NULL,"Pueblo Nueva, unit 8"
NULL,"Pueblo Nuevo (air Strip)"
NULL,"Pueblo Nuevo, Durango"
NULL,"Pueblo Park (About 10 Mi Sw Of Highway 12 And Highway 180 Interchange)"
NULL,"Pueblo Smelting And Refining Works"
NULL,"Pueces Ranch, S Of Dry Creek"
NULL,"Puerco Plugs"
NULL,"Puerco Plugs, on the east flank of Mt. Taylor volcanic center"
NULL,"Puerta"
NULL,"Puerto de Diablo, 6 km. S. of San Salvador"
NULL,"Puerto De Gomez"
NULL,"Puerto Del Padre (Port)"
NULL,"Puerto Fermin"
NULL,"Puerto Gorgonilla, SE corner of island"
NULL,"Puerto Princesa, Palawan"
NULL,"Puerto Salgar"
NULL,"Puerto Suarez"
NULL,"Puerto Suarez, (Near Corumba Brazil)"
NULL,"Puerto Suarez, Corumba"
NULL,"Puget Sound"
NULL,"Puget Sound, Seattle Area.; Se Of Fourmile Rock"
NULL,"Pugh Quarry"
NULL,"Puhi Puhi"
NULL,"Puig Costa, S Of Olot"
NULL,"Puits Neuf"
NULL,"Puketiraki, Dunedin"
NULL,"Pukhet Island"
NULL,"Pulacayo"
NULL,"Pulaski"
NULL,"Pulaski City"
NULL,"Pulau Gandaha"
NULL,"Pulau Gilalang boulder"
NULL,"Pulau Lembeh"
NULL,"Pulga"
NULL,"Pulganbar"
NULL,"Pullman"
NULL,"Pullman (3 Mi S)"
NULL,"Pullman Area"
NULL,"Pulver Maar, West Germany"
NULL,"Pumaceous spatter, same location as KIL 375-14A"
NULL,"Pumice Creek"
NULL,"Pumice Desert, 5 Mi N Of Crater Lake, Near Desert Cone"
NULL,"Pumice fall deposit underlies F07-48 above"
NULL,"pumice mine"
NULL,"pumice pit"
NULL,"Pumice Pit"
NULL,"Pumice pit on N side of China Hat"
NULL,"Pumice pit on N side of China Hat; lava dome"
NULL,"pumice pit, lower part"
NULL,"Pumice Point"
NULL,"Pumice Pond, Headwaters Of Toutle River Creek And Avalanche"
NULL,"Pumice Pond, Headwaters Of Toutle River Creek And Avalanche N Slope Of Pumice Pond"
NULL,"Pumice Pond, Headwaters Of Toutle River Creek And Avalanche N Slopes Of Pumice Pond"
NULL,"Pumice quarry, Ciwa Street at Arrowhead Road, Clearlake Park"
NULL,"pumiceous pf (or lohar?) Kalama V., sect. 28, SW of Goat Mountain (Kalama River Flow)"
NULL,"Pumpkin Buttes"
NULL,"Pumpuri area"
NULL,"Puna De Atacama (Plateau), Salar Cauchari (Salt); Puna De Atacama"
NULL,"Puna. 75 Ft From Ocean, Lighthouse Side"
NULL,"Puna. Aa Flow 500 Ft. Above Kula Pond"
NULL,"Puna. Between Vent And Kapoho Town"
NULL,"Puna. Cane Road"
NULL,"Puna. E. Side (koae) Across Young's Place"
NULL,"Puna. From Puu Kea ?"
NULL,"Puna. From Railroad Bed Road Where It Was Cut By The Koae Fault Just N. Of The Big Fountain"
NULL,"Puna. Heiau"
NULL,"Puna. Kapoho School"
NULL,"Puna. Last Flow East From Main Vent"
NULL,"Puna. Last Flow, W Spatter Vent"
NULL,"Puna. Main Tourist Overlook Below Nakamura Store On 1955 Area"
NULL,"Puna. Middle Fountain, Nakamura Store Area"
NULL,"Puna. Middle Vents"
NULL,"Puna. N Of Vent"
NULL,"Puna. N Side Of Cone"
NULL,"Puna. N Side Of Main Vent"
NULL,"Puna. N. Side Of Cone"
NULL,"Puna. Ne Of Cone"
NULL,"Puna. Near Main Street"
NULL,"Puna. New West Vents"
NULL,"Puna. North Of Vent"
NULL,"Puna. Papaya Patch Se Of Cone"
NULL,"Puna. Road, West End"
NULL,"Puna. Short Flow Advancing Into Coffee Field"
NULL,"Puna. West"
NULL,"Puna. West Side Foot Of Vent - W Side Of Cone"
NULL,"Puna. West Spitting Vent - W Side Of Cone"
NULL,"Puna. West Vents"
NULL,"Punaruu River"
NULL,"Punaruu River At Third Fork"
NULL,"Pune (Quarry 15 Km Ne Of)"
NULL,"Pune, Pune District"
NULL,"Punitaqui"
NULL,"Punta Arancola"
NULL,"Punta Brava, E coast of island"
NULL,"Punta Buenta Bosili 2 Km N Of Uras, S Margin Of Mt Arei"
NULL,"Punta Cabo Blanco"
NULL,"Punta Cata, west side of bay"
NULL,"Punta Cata, west side of bay, 0.2 km uphill from VZ5928/VZ59830"
NULL,"Punta China"
NULL,"Punta De Lobos"
NULL,"Punta della Torre"
NULL,"Punta El Penon"
NULL,"Punta Luzzanas, Scano"
NULL,"Punta Minerbio"
NULL,"Punta Mosquito"
NULL,"Punta Pitt"
NULL,"Punta Pitt, near summit"
NULL,"Punta Pitt: Lava on Islet"
NULL,"Punta Spinniola"
NULL,"Punta Sus Pianuo"
NULL,"Punta Trinidad"
NULL,"Punta Trinidad, E coast of island"
NULL,"Purakanui"
NULL,"Purakcanni"
NULL,"Pure Oil Well"
NULL,"Purgatory Creek Valley, Boyetts Cave (Near)"
NULL,"Purgumer Alp, Pfitschtal (Valley); Wildkreuzjoch"
NULL,"Purico fallout"
NULL,"Purna"
NULL,"Purnamoota"
NULL,"Purnamoota (E Of)"
NULL,"Purnell Drive 100 yards south of Gwynn Oak Avenue in Baltimore"
NULL,"Pusoritz, Czechoslovakia, Czechoslovakia"
NULL,"Pustertal (Valley)"
NULL,"Put-In-Bay"
NULL,"Putappa"
NULL,"Putla"
NULL,"Putnam"
NULL,"Puu huluhulu trail"
NULL,"Puu Kamama Cone, 150 ft. west"
NULL,"Puu Kamama Cone, southeast rim"
NULL,"Puu Kiai"
NULL,"Puu Kiai. 1 Km W. Of Puu Kalalua (200 M Ne Of Vent ?)"
NULL,"Puu Kiai. 10 M. From Forest"
NULL,"Puu Kiai. 120 M. Nw Of East Vent"
NULL,"Puu Kiai. 225 M. Nne Of Vents, 2 Km E. Of Puu Kalalua"
NULL,"Puu Kiai. 300 M Ne Of Vent, 1 Km W. Of Puu Kalalua"
NULL,"Puu Kiai. 500 M Wnw Of Puu Kalalua"
NULL,"Puu Kiai. Channel 300 M. E. Of Cone"
NULL,"Puu Kiai. E. End Of Active Puu Kauka Vent"
NULL,"Puu Kiai. Flow Edge 600-700 M. From Vent"
NULL,"Puu Kiai. From Head Of Flow Going E. On 1963 Flow From Vent W. Of Puu Kalalua"
NULL,"Puu Kiai. Head Of Flow From Vent W. Of Kalalua"
NULL,"Puu Kiai. Helicopter Drop Point"
NULL,"Puu Kiai. Isolated Vent On W. End Of Fissure"
NULL,"Puu Kiai. Lee Ranch, Se Toe"
NULL,"Puu Kiai. Middle Of Vent About 1.5 (km ?) E. Of Kalalua"
NULL,"Puu Kiai. N. Edge Of Main Flow, 500 M. From Vent"
NULL,"Puu Kiai. N. Wall Of Lg. Crack (narrow Crater) Into Which Puu Rift Zone Flows (west ?)"
NULL,"Puu Kiai. Puu Kalalua"
NULL,"Puu Kiai. Puu Kiai Fountain"
NULL,"Puu Kiai. Se-most Aa Flow Sse Of Puu Kauka, About 1/4 Mi. N. Of End Of Center Rd. Above Papaya Field Of Ah Chun ? Ranch"
NULL,"Puu Kiai. Vent 1 Km W. Of Puu Kalalua"
NULL,"Puu Kiai. W. End Of Upper Papaya Field Rd., Above A. Lee Ranch"
NULL,"Puu Kiai. W. Of Vent"
NULL,"Puu Kiai. W. Rim Of Cone"
NULL,"Puu Koli. Cone E Of Kokoolau"
NULL,"Puu O Ehu Quarry, Oahu"
NULL,"Puuwai Hill"
NULL,"Puy-de-Dôme"
NULL,"Puy Beaunit, near Clermont-Ferrand"
NULL,"Puy De Berneire A Saint-Sandoux"
NULL,"Puy De Dome"
NULL,"Puy De Dome, Boissejour"
NULL,"Puy De Dome, Chaux De Bergonne"
NULL,"Puy De Dome, Cote Du Bois"
NULL,"Puy De Dome, Gignat"
NULL,"Puy De La Vache"
NULL,"Puy De La Vache, S Foot Of"
NULL,"Puy De Marman"
NULL,"Puy de tache"
NULL,"Puy Gros"
NULL,"Pyhrville"
NULL,"Pyicha, Myanmar [Burma], Tenasserim, Myanmar [Burma]"
NULL,"Pyin Xungyi Village, Myanmar [Burma], Tenasserim, Myanmar [Burma]"
NULL,"Pyles (opposite)"
NULL,"Pylesville"
NULL,"Pylesville (1.5 Mi W Of)"
NULL,"Pylesville (Near)"
NULL,"Pylesville (Near), Jenkins Farm"
NULL,"Pyramid Lake"
NULL,"Pyramid Lake (N End Of)"
NULL,"Pyramid Lake; Piute Reservation"
NULL,"Pyramid Of Cheops"
NULL,"Pyramidefjord Granite Intrusion"
NULL,"Pyrenees (Mtns.)"
NULL,"Pyrenees (Mtns.) (?); Adervielle"
NULL,"Pyrenees (Mtns.), Boutadiol Valley; Querigut (Near)"
NULL,"Pyrenees (Mtns.), Massif Des Posets (Mtns.); Montagne Deriste"
NULL,"Pyrenees (Mtns.), Pico Posets (Peak)"
NULL,"Pyrenees (Mtns.); Baygoory"
NULL,"Pyrenees (Mtns.); Carboire, Ariege"
NULL,"Pyrenees (Mtns.); Colde Lurde"
NULL,"Pyrenees (Mtns.); Fiphols"
NULL,"Pyrenees (Mtns.); Gedres"
NULL,"Pyrenees (Mtns.); Graves De Libarens"
NULL,"Pyrenees (Mtns.); Lac De Lherz"
NULL,"Pyrenees (Mtns.); Luchon"
NULL,"Pyrenees (Mtns.); Montloo"
NULL,"Pyrenees (Mtns.); Pouzac"
NULL,"Pyrenees Mtns"
NULL,"Pyrénées Mtns"
NULL,"Pyrenees Mtns.; Oms"
NULL,"Pyrhow, Silesia"
NULL,"Pyrite (Near)"
NULL,"Pyrites"
NULL,"Pyrmont"
NULL,"pyroclastic center, 2.75 miles N of Polvadera Peak"
NULL,"pyroclastic flow"
NULL,"Pyroclastic flow deposit"
NULL,"Pyroclastic flow in debris flow"
NULL,"Pyrrhotite Old Dump; Greater Helena Mining Region"
NULL,"Q Uebada De Asinto, 1 Mi E Of Cortadera"
NULL,"Q. Canaote, NW of Algari, NW of Barquisimeto"
NULL,"Q. Las Animas, NW of Loma de Leon"
NULL,"Q. Las Animas, NW of Yaritagua"
NULL,"Qaersut"
NULL,"Qb1 from NW side of Red Cone, 10 m high flow front, approx. 2 m above base of flow"
NULL,"Qb1 from NW side of Red Cone, 90o to western summit"
NULL,"Qb2 lava, collected 151o from Red Cone summit (Elev. 3085 ft.)"
NULL,"Qb2 lava, collected 92o from Red Cone summit (Elev. 3169 ft.)"
NULL,"Qb3 from NW side of Red Cone, 115o to western summit"
NULL,"Qda. Camataguita"
NULL,"Qda. Los Cajoines"
NULL,"Qda. Los Cajones"
NULL,"Qda. Santa Domingo"
NULL,"Qda. Vallecito"
NULL,"Qian Tuan Shan, quarry; 2 km W of Da Kou Qin, 13 km SW of Gangyao; 35 km N of Jilin City"
NULL,"Qing Yi Shan scoria cone, west ridge and crater; 12 km WSW of Kuandian"
NULL,"Qinghai"
NULL,"Qinglong"
NULL,"Qinglong Co"
NULL,"Qu Elerada Carrizo, 50 Km N Of Potrerillos"
NULL,"Qu Shan, hill SE of bridge, on SE edge of Linqu"
NULL,"Quabbi N Reservoir"
NULL,"Quabbin Aqueduct"
NULL,"Quabbin Aqueduct, Hardwick"
NULL,"Quabbin Reservoir"
NULL,"Quabbin Reservoir Intake Works"
NULL,"Quabbin Reservoir, Hardwick"
NULL,"Quadrilla"
NULL,"Quadrilla De Tehuantepec"
NULL,"Quadville"
NULL,"Quail Springs"
NULL,"Quaker Hill Road, S Of Banner Hill"
NULL,"Quakerton"
NULL,"Quar Ries Along Rr As Shown On Map"
NULL,"Quarr Y In Bed, Rio Amer, Las Planas, S Of Olot"
NULL,"Quarried At Kakoperato Since 9000 Bc"
NULL,"Quarried Block On Shore By Hotel"
NULL,"Quarried In N End Florida Mts; 15 Mi Se Of Deming"
NULL,"Quarries"
NULL,"Quarries 4 Miles N Of City"
NULL,"Quarries Along Rr As Shown On Map"
NULL,"Quarries At Las Americas; About 3 Km W Of Tlacotepec"
NULL,"Quarries At Lincoln; 8 Mi W Of Ophir"
NULL,"Quarries Near Porta Delgada"
NULL,"Quarries near Porterville"
NULL,"Quarries on Mr. Roldant's farm; SE SE sec. 22, T29N, R6E; S central part of pluton"
NULL,"Quarries on Mr. Roldant's farm; SE SE sec. 22, T29N, R6E; S side of pluton"
NULL,"Quarry"
NULL,"Quarry (Near)"
NULL,"Quarry .5 Mi E Of Ranch"
NULL,"Quarry .5 Mi Nw Of Middle Granville"
NULL,"Quarry .5 Mi W Of; Pawlet Twp"
NULL,"Quarry [at] mouth of Rivière Seche"
NULL,"Quarry [on?] Qian Tuan Shan; 2 km W of Da Kou Qin; 13 km SW of Gangyao; 35 km N of Jilin City"
NULL,"Quarry [on] low hill N of road; ~ 3 km SW of Niu Xin Shan, 4.5 km NE of Shangpu village"
NULL,"Quarry [on] S side of Xiao Gu Shan village; 31.5 km WSW of Yitong"
NULL,"Quarry [on] W side of basalt plug; 3 km S of Moliqingxiang village; 17.5 km WNW of Yitong"
NULL,"Quarry 1 km N76E from Jian Shan, W of Jian Shan village; 34 km W of Yitong"
NULL,"Quarry 1/2 Km Sw Of Polsingen 100m S Of Side Of Road To Polsingen"
NULL,"Quarry 1/2 Mi N Of Ramoua"
NULL,"Quarry 1/2 Sw Of Polsingen 100m S Of Side Of Road To Polsingen"
NULL,"Quarry 1/4 mile North of Dam, East Bank of Indian River"
NULL,"Quarry 1000 Ft S Of Geiger Grade Toll Gate"
NULL,"Quarry 1000 Ft. Nw Of Basalt Hill"
NULL,"Quarry 1000 Ft. S. Geiger Grade Toll Gate"
NULL,"Quarry 1000 Ft. S.s.e. Sugar Loaf"
NULL,"Quarry 100m W Of Turnoff, Lake Mead Blvd"
NULL,"Quarry 1250 Ft. W. Geiger Grade Toll Gate"
NULL,"Quarry 1500 Ft. S.w. Justice Shaft"
NULL,"Quarry 2500 Ft Ne Of Occidental Mill"
NULL,"Quarry 2500 Ft. Ne Of Occidental Mill"
NULL,"Quarry 3 To 4 Miles East Of Ducktown"
NULL,"Quarry 30 Mi Past Road From Hilo To Volcano House"
NULL,"Quarry 4 Mi Ne Of Corona; 0.9 Mi E Of Mt Hole"
NULL,"Quarry 500 Ft. N. Of N. Twin Peak"
NULL,"Quarry 600 m NW Boccia Al Mauro; 6.3 km ESE of Gran Cono (Central Cone Vesuvius)"
NULL,"Quarry Above Il Giglio"
NULL,"Quarry Above Lozzo"
NULL,"Quarry Above Utah Mine"
NULL,"Quarry Above Zavon"
NULL,"Quarry Along River Rd., 3 Mi S Of Bridge"
NULL,"Quarry Along River Rd.,3 Mi S Of"
NULL,"Quarry Along River; .5 Mi S Of Hollofield"
NULL,"Quarry Along Road"
NULL,"Quarry at 66 and 70"
NULL,"Quarry at beach"
NULL,"Quarry at bridge over Gorges de la Falaise"
NULL,"Quarry at bridge over La Falaise gorge"
NULL,"Quarry at Cement Plant"
NULL,"Quarry at end of Kier Road"
NULL,"Quarry at end of ridge extending northeast from San Juan Caldera, overlain by Tepic Pumice; 2km W of Tepic"
NULL,"Quarry at end of road near Radio Antilles"
NULL,"Quarry at Hacienda Rio Abajo, SW of Yaritagua"
NULL,"Quarry At La Angelo"
NULL,"Quarry at La Falaise"
NULL,"Quarry at Layou"
NULL,"Quarry At Mont Brancon"
NULL,"Quarry At Montbossier"
NULL,"Quarry at mouth of Rivière Capot"
NULL,"Quarry At Mt. Gros"
NULL,"Quarry At N. Twin Peak, Point 6199"
NULL,"Quarry At Rabbit Spring"
NULL,"Quarry At Simo-odawana Ne Of Enzon, E Of Kohu City"
NULL,"Quarry Base At 1640 M, Nw Foot Of Cone"
NULL,"Quarry behind Antillean View hotel"
NULL,"Quarry Between Oberringingen And Hochdorf"
NULL,"Quarry By Blackfoot Farm, 1.3 Mi N Of Penherry, Ayrs"
NULL,"Quarry E Gate Of Acquapendente"
NULL,"Quarry E Of Adams, N Of Toppel Cr"
NULL,"Quarry E Of Legracie Near Montefiascone"
NULL,"Quarry E Of Potlatch Road"
NULL,"Quarry E of road; 3 km SSE of Qiao Guan village; 31 km N83E of Linqu"
NULL,"Quarry east end of Parys/Orange Free State South Africa, (Vredefort Dome)"
NULL,"quarry face, 300 feet west of Rock Creek, Dumbarton Quarry"
NULL,"Quarry for road metal on property of Nomi and Walter Bodilla"
NULL,"Quarry For Road Metal, West Of Moiliili Church; E Of Honolulu"
NULL,"Quarry in basalt flow; 2.25 km NW of Wang Qing city"
NULL,"Quarry In Cinder Cone Cerro Colorado; Nnw Of San Rafael Matriz"
NULL,"Quarry In Dunedin"
NULL,"Quarry In Section 26 Twp48 R25"
NULL,"Quarry Just N. Of N. Twin Peak"
NULL,"Quarry Just West Of Sierra Nev., New Shaft"
NULL,"Quarry located 1.5 Mi. SSE Of Ragland"
NULL,"Quarry Mt Cinin"
NULL,"Quarry N Of Ashton"
NULL,"Quarry N Of Bagnorea"
NULL,"Quarry N of drusy vug monzonite dike, W side of Beaver Creek; NW NW NE 10, T28N, R16E"
NULL,"Quarry N Of Highway; 1 Mi E Of Rainbow"
NULL,"Quarry N of Pokmoonshine State Park, Ausable Quad"
NULL,"Quarry N Of Road To Cavilan Mine"
NULL,"Quarry N Of Slope"
NULL,"Quarry N Side Of Mt Ascutney"
