"locality","locality_description"
"Allaire State Park core # 2",NULL
"Allalin Gabbro",NULL
"Allchar",NULL
"Allen Ranch",NULL
"Allerton Park",NULL
"Allies Mine",NULL
"Allison Ranch Mine",NULL
"Allmend Park",NULL
"Allouez Mine",NULL
"Alluiyv Hills",NULL
"ALMA",NULL
"Alma Hill","eruptive cone/crater"
"Alma Mine",NULL
"Almaden",NULL
"Almasu Mic De Munte",NULL
"Almirez",NULL
"Almklovdalen",NULL
"Almodington Farm","Chesapeake Bay"
"Aloe Bay Field",NULL
"Alona Bay","Along Highway 17"
"Along north shore of Kittiwake Lake",NULL
"Along Panamerican Highway",NULL
"Alp Munt",NULL
"Alp Taspegn, Pt. 2357",NULL
"Alpe Campolongo",NULL
"Alpe Campolungo",NULL
"Alpe Lercheltini",NULL
"Alpe Ruschuna",NULL
"Alpe Schwarzenstein",NULL
"Alpi Alpusine",NULL
"Alps",NULL
"Alps Mine",NULL
"Alsóhetény",NULL
"Alsóhetenypuszta",NULL
"Alsop Mine",NULL
"Alta",NULL
"Alta California Mine",NULL
"Altai Mtns.",NULL
"Altamana River at Doctortown",NULL
"Altavilla Irpina",NULL
"Alte Elizabeth Mine",NULL
"Alte Hoffnung Gottes Mine",NULL
"Alteo Pedroso",NULL
"Alticry",NULL
"Alto Da Varzea",NULL
"Alto De Cruces Mine",NULL
"Alto del Porrejón",NULL
"Alto Do Giz",NULL
"Alto Manoel",NULL
"Alto Manoes",NULL
"Alton Maughan Ranch",NULL
"Altoona Mine",NULL
"Altos Pochote Hill, SE flank","on public country road"
"Altyn-tyube",NULL
"Alum Bay",NULL
"Alum King Mine",NULL
"Alum Rock Canyon",NULL
"Alunite Ridge",NULL
"ALV1911",NULL
"ALV1913",NULL
"ALV1915",NULL
"ALV2034",NULL
"ALV3014","East Pacific Rise - Seamount 6"
"ALV4087",NULL
"ALV4088",NULL
"ALV4091",NULL
"ALV4092",NULL
"ALV4093",NULL
"ALV4094",NULL
"ALV4095",NULL
"ALV4096",NULL
"ALV4097",NULL
"ALV4098",NULL
"ALV4454",NULL
"Alverson Prospect",NULL
"Alwyns Kop","Road cut outcrop exposures"
"Am Rhine",NULL
"Amacuro River",NULL
"Amakdedulia Cove, Kamashak Bay",NULL
"Amanda Lode claim",NULL
"Amanda Mine",NULL
"Amari Lode",NULL
"Amaro Horst",NULL
"Amasra, Turkey",NULL
"AMAT05RR-01D",NULL
"AMAT05RR-03D",NULL
"AMAT05RR-04D",NULL
"Amatignak",NULL
"Amatrice Hill",NULL
"Amazon","Obidos"
"Amazon River",NULL
"Ambalalehifotsy",NULL
"Ambare",NULL
"Ambatadrasaka",NULL
"Ambatoasanoa",NULL
"Ambatobe",NULL
"Ambatofotsikely",NULL
"Ambatofotsy",NULL
"Ambatoharina",NULL
"Ambatohasana",NULL
"Ambatolahina",NULL
"Ambatolahinanahary",NULL
"Ambatomalaza",NULL
"Ambatomena",NULL
"Ambatosoratra",NULL
"Ambdrijatova",NULL
"Ambeau Mine",NULL
"Amberg-auerbach Mine",NULL
"Ambinanindrano",NULL
"Ambinda",NULL
"Ambindandrakemba",NULL
"Ambindandrakomba",NULL
"Ambo",NULL
"Ambodiainana",NULL
"Ambodibonara,",NULL
"Ambodilaza",NULL
"Ambodivoandelaka",NULL
"Ambohibe",NULL
"Ambohijanahary",NULL
"Ambohijatova",NULL
"Ambohimanambolo",NULL
"Ambohimasina",NULL
"Ambohitromby",NULL
"Ambotofitskely",NULL
"Ambotofotsy",NULL
"Ambovombe",NULL
"Amboy Cone",NULL
"Ambrose Mine",NULL
"Ambrosia Lake",NULL
"Ambush Bay",NULL
"Ameise Mine",NULL
"Amelia Mine",NULL
"America #3 mine","America Coal"
"American Aggregate Quarry",NULL
"American Aggregates 96th St. Quarry",NULL
"American Aggregates Harding St. Quarry",NULL
"American Concrete Stone Nancy Quarry",NULL
"American Mine",NULL
"American Mineral Production Co.",NULL
"American Olean Tile",NULL
"American River",NULL
"American Rock Wool",NULL
"American Rock Wool Plant and Quarry",NULL
"American Rolling Mill Co. #5 mine","No. 5 Block Coal. (2 mi W of Montcoal)"
"American Samoa",NULL
"American Tunnel",NULL
"American Zinc Co.",NULL
"Amesbury",NULL
"Amethyst Cove",NULL
"Amethyst Mine",NULL
"Amie Mine","From N:2 shaft at depth of 273 feet"
"Amiendos River",NULL
"Amigas",NULL
"Amigos Mine",NULL
"Amin Park No. 2",NULL
"Amkitsikitsika",NULL
"Amlings 1","Hemse Group - Petes Formation"
"Ammel Büsch","near Oos"
"Ammel Büsch",NULL
"Ammohori",NULL
"Ammons Pond",NULL
"Amor Mine",NULL
"Ampanandrava",NULL
"Ampandrandava",NULL
"Ampandrandave",NULL
"Ampandvandava",NULL
