fullKey,locality_id,,,,,,
"NULLA.R.HaackMineMineArizonaYumaCo.CastleDome228TworesultswithsimilarnameswerefoundonUSGSMRDS.HaackMineGroup(DepositID10258864)YumaCo.AZ.,andHaackMineGroup(DepositID10037076)YumaCo.AZ.URL:https://mrdata.usgs.gov/mrds/show-mrds.phpdep_id=10258864.",126,,,,,,
NULLA.S.A.VohMineMineNULLNULLNULL74,127,,,,,,
A.T.&MinnisMineNULLNULLColoradoLeadvilleLeadville228,128,,,,,,
NULLA.Z.HaockMineMineArizonaYumaCo.CastleDome228,129,,,,,,
NULLA154SouthMineMineNorthwestTerritoriesNULLNULL38392Levelatthebottomofthedrainedlake,130,,,,,,
"NULLAachenMineMineNorthRhine-WestphaliaNULLNULL81Reinshagen,Much(S),Bergrevier,RunderothMultiplefeaturesofsimilarapparentspecificitywerematchedtoGeoNamesrecordsusingthesituate.pyscript,includingMuch,CologneDistrict,NorthRhine-Westphalia,Germany(n=1);Rein",131,,,,,,
"NULLNULLNULLNorthRhine-WestphaliaNULLAltenberg81AachenMultiplefeaturesofsimilarapparentspecificitywerematchedtoGeoNamesrecordsusingthesituate.pyscript,includingAltenberg,CologneDistrict,NorthRhine-Westphalia,Germany(n=2)andAachen,CologneDistrict,NorthRhi",132,,,,,,
NULLNULLNULLNorthRhine-WestphaliaNULLNULL81Aachen,132,,,,,,
NULLNULLNULLNULLNULLNULL21Aachen(Near),132,,,,,,
NULLNULLNULLNULLNULLNULL81Aachen(Near),132,,,,,,
"NULLNULLNULLNULLNULLNULL81Aachen,AltenbergMultiplefeaturesofsimilarapparentspecificitywerematchedtoGeoNamesrecordsusingthesituate.pyscript,includingAachen,CologneDistrict,NorthRhine-Westphalia,Germany(n=2)andAltenberg,Germany(n=23).Thecoordinatesanderror",132,,,,,,
NULLNULLNULLRhineNULLNULL81Aachen,132,,,,,,
"NULLNULLNULLNULLNULLNULL224Aahole,Kabira",133,,,,,,
"NULLNULLNULLNULLNULLNULL163Oslo(178.88KmFr),AaklungenRailroadStation(SOf)MultiplerecordsfromGeoNamesmatchedthelocalityOslo/OsloCentralStation/OsloCounty,Norway,includinghttp://geonames.org/3143242(featureCode=ADM1),http://geonames.org/3143244(featureCode",134,,,,,,
"Aalbeke,claypitKobbe(claypitVermeulen)NULLNULLNULLNULLNULL21operatingpitforclay",135,,,,,,
"NULLNULLNULLNULLNULLNULL163AamdalsVaerk,Poregrund",136,,,,,,
NULLNULLNULLValaisNULLNULL209AarMassif(Mtns.);Fiesch,137,,,,,,
NULLNULLNULLAargauNULLNULL209,138,,,,,,
NULLAaronGlacierNULLNULLNULLNULLNULL,139,,,,,,
"NULLNULLNULLNULLNULLNULL163Aaserund,EidfjordMultiplerecordsfromGeoNamesmatchedthelocalityEidfjord,Eidfjord,Hordaland,Norway,includinghttp://geonames.org/3158666,http://geonames.org/3158668,andhttp://geonames.org/8532985.Thesituate.pyscriptwasunabletodist",140,,,,,,
NULLNULLNULLNULLNULLNULL256inthemiddleoftheAbalybozTepe,141,,,,,,
NULLNULLNULLNULLNULLNULL256northsideofAbalybozTepe,141,,,,,,
"NULLNULLNULLNULLNULLNULL256SouthofAbalybozTepe,onasandislandinthecanal",141,,,,,,
"NULLNULLNULLNULLNULLNULLNULLsouthoftheAbalybozTepe,northofthecanal",141,,,,,,
AbancayAndesoutcropApurimacNULLNULL171,142,,,,,,
AbandonedAltajmeQuarriesNULLNULLGotlandNULLNULL208AbandonedQuarry,143,,,,,,
"AbandonedQuarry,Bluff&TunnelMillNULLNULLIndianaJenningsNULL2282.7'formthetopofUnit1",144,,,,,,
"AbandonedQuarry,Bluff,andTunnelMillNULLNULLIndianaJenningsNULL2283.0'fromtopofUnit3.",144,,,,,,
"AbandonedQuarry,Bluff,andTunnelMillNULLNULLIndianaJenningsNULL2286.9'fromthetopofUnit2",144,,,,,,
"AbandonedQuarry,CliftyCreekNULLNULLIndianaJeffersonNULL2280.5'fromthetopofunit1",145,,,,,,
"AbandonedQuarry,CliftyCreekNULLNULLIndianaJeffersonNULL2282.5ft.fromthetopofUnit3",145,,,,,,
"AbandonedQuarry,CliftyCreekNULLNULLIndianaJeffersonNULL2283.0'fromthetopofunit5",145,,,,,,
"AbandonedQuarry,CliftyCreekNULLNULLIndianaJeffersonNULL22835.0'fromthetopofunit4",145,,,,,,
"AbandonedQuarry,CliftyCreekNULLNULLIndianaJeffersonNULL228FromtopofUnit2",145,,,,,,
NULLNULLNULLIndianaJasperRemington228T27NR7WSec.34;Abandonedquarry,146,,,,,,
"AbandonedQuarry,LaurelCaveSectionNULLNULLIndianaJenningsNULL228RockSampleunit1atbase",147,,,,,,
"AbandonedQuarry,LaurelCaveSectionNULLNULLIndianaJenningsNULL228RockSampleUnit2-1.4ft.",147,,,,,,
"AbandonedQuarry,LaurelCaveSectionNULLNULLIndianaJenningsNULL228RockSampleUnit32.8ft.",147,,,,,,
"AbandonedQuarry,LaurelCaveSectionNULLNULLIndianaJenningsNULL228RockSampleUnit4-4.6ft.",147,,,,,,
"NULLNULLNULLMaineNULLWaldoboro228ABandonedQuarry,U.s.10.3MiNOfJeffersonStreet",148,,,,,,
NULLNULLNULLNorthCarolinaNULLJefferson228AbandonedRailroad,149,,,,,,
NULLAbandonedZincMineMineKentuckyNULLNULL228,150,,,,,,
NULLNULLNULLOruroNULLNULL26Abaroa,151,,,,,,
NULLAbbadiaMineMineTuscanyNULLMonteAmiataDistrict106,152,,,,,,
NULLNULLNULLNULLAbbaretzAbbaretz74,153,,,,,,
NULLABBAYESALINSCONTINENTNULLNULLNULL74,154,,,,,,
NULLABBAYESALINSlakeNULLNULLNULLNULL,154,,,,,,
NULLABBAYESALINSlakeNULLNULLNULL74,154,,,,,,
AbbelineMineNULLNULLBajaCaliforniaSurAlamoAlamo140,155,,,,,,
NULLAbbelineMineMineBajaCaliforniaNULLNULL140Alamos,155,,,,,,
NULLAbbeyMineNumber4MineIllinoisSt.ClairCo.Collinsville228,157,,,,,,
"NULLAbbeyMineMineIllinoisNULLSaintClair,Collinsville228",158,,,,,,
NULLAbbeyMineMineIllinoisSt.ClairCo.Collinsville228,158,,,,,,
NULLAbbeyNunatakNULLNULLNULLNULLNULL,159,,,,,,
"NULLAbbieClaimMineIdaho-OregonNULLSoldier228Tin,R14e,BoiseM",160,,,,,,
NULLAbbotQuarryMineMaineNULLNorthSullivan228,162,,,,,,
NULLAbbotsFordMineNULLNULLNULL200,163,,,,,,
AbbotsHollowNULLNULLIndianaPerryNULL228topofunit,164,,,,,,
AbbotsRiptonNULLNULLNULLNULLNULL227,165,,,,,,
AbbottPeakMt.ErebusNULLNULLNULLNULLNULL,166,,,,,,
"NULLNULLNULLNULLNULLAbdAlMa'Asir190SmallDoubleConeImmed.SwOfAbdAlMa'asir,N.SaudiArabia",167,,,,,,
NULLAbdashtMineMineNULLNULLNULL102EsfandagueAreaCoordinatesforAbdashtMine(DepositID:10255795)arefromtheUSGSMineralResourcesDataSystemdataset(downloaded2015-08-13).Recordmatcheduniquelyontheoldnameofamineinthesamecountry.,168,,,,,,
AbeLincolnMineNULLNULLColoradoCrippleCreekCrippleCreek228,169,,,,,,
LauBasinAbeventfieldhydrothermalventNULLNULLNULL217,170,,,,,,
NULLAbejeravolcanoTenerifeNULLNULL202,171,,,,,,
"NULLNULLNULLNULLNULLNULL47Abejorral,Antioquia",172,,,,,,
NULLAbeleSpurNULLNULLNULLNULLNULL,173,,,,,,
AbeleSpurMt.LechnerNULLNULLNULLNULLNULL,174,,,,,,
AbenabMineNULLNULLNULLAbenabAbenab150,175,,,,,,
AbenabMineNULLNULLNULLGrootfonteinGrootfontein150,175,,,,,,
NULLAbenabMineMineNULLNULLNULL150Grootfontein,175,,,,,,
NULLAbenabmineMineNULLNULLNULL150Grootfontein(30kmNof),175,,,,,,
"NULLAbenabMineMineNULLNULLNULL150GrootfonteinCoordinatesforAbenabMine(DepositID:10280224)arefromtheUSGSMineralResourcesDataSystemdataset(downloaded2015-08-13).Recordmatcheduniquelyonminename,country,andstate.",175,,,,,,
"NULLAbenabMineMineNULLNULLNULL150Grootfontein(20MiNOf)CoordinatesforAbenabMine(DepositID:10280224)arefromtheUSGSMineralResourcesDataSystemdataset(downloaded2015-08-13).Recordmatcheduniquelyonminename,country,andstate.",175,,,,,,
"NULLAbenabMineMineNULLNULLNULL150Grootfontein(32KmNOf)CoordinatesforAbenabMine(DepositID:10280224)arefromtheUSGSMineralResourcesDataSystemdataset(downloaded2015-08-13).Recordmatcheduniquelyonminename,country,andstate.",175,,,,,,
"NULLAbenabMineMineNULLNULLNULL150Grootfontein(Near)CoordinatesforAbenabMine(DepositID:10280224)arefromtheUSGSMineralResourcesDataSystemdataset(downloaded2015-08-13).Recordmatcheduniquelyonminename,country,andstate.",175,,,,,,
"NULLAbenabMineMineNULLNULLNULL150Grootfontein(Nr)CoordinatesforAbenabMine(DepositID:10280224)arefromtheUSGSMineralResourcesDataSystemdataset(downloaded2015-08-13).Recordmatcheduniquelyonminename,country,andstate.",175,,,,,,
NULLAbenabMineMineNULLNULLOtavia150,175,,,,,,
"NULLAbenabWestMineMineNULLNULLNULLNULLTsumeb(E.),Bobos,South-WestAfrica,South-WestAfricaMultiplefeaturesofsimilarapparentspecificitywerematchedtoGeoNamesrecordsusingthesituate.pyscript,includingEofTsumeb,Namibia(n=1)andBobos,Namibia(n=2).Thecoordinatesan",177,,,,,,
NULLNULLNULLNULLAbenabAbenab150,178,,,,,,
NULLNULLNULLNULLNULLNULL150Abenab,178,,,,,,
NULLNULLNULLNewSouthWalesNULLNULL13AberFoyleRiver,179,,,,,,
