sample_type_id,sample_type_uri,label,description,parent_uri,parent_sample_type_id,scheme_uri,scheme_name
137,https://w3id.org/isample/earthenv/esmaterialsample/polishedmountedspecimen,Polished mounted specimen,Mounted specimen with polished surface exposing mounted material for analysis,https://w3id.org/isample/vocabulary/materialsampleobjecttype/mountedspecimen,128,,
138,https://w3id.org/isample/earthenv/esmaterialsample/polishedthinsection,Polished thin section,a thin section that has its free surface polished until perfectly planar and free of pits and scratches. Used for reflected light petrography and for electron microprobe or SEM investigation.,https://w3id.org/isample/earthenv/esmaterialsample/thinsection,28,,
139,https://w3id.org/isample/earthenv/esmaterialsample/pressedpellet,Pressed pellet,"a sample prepared by grinding a parent sample to a fine powder, mixing it with a binder, and pressing the mixture into a die at a pressure of between 15 and 35 tons to produce a solid disc for subsequent analysis, typically by X-Ray fluorescence.",https://w3id.org/isample/vocabulary/materialsampleobjecttype/analyticalpreparation,33,,
140,https://w3id.org/isample/earthenv/esmaterialsample/processedfluidsample,Processed fluid sample,"fluid sample that has been processed in some way during or after collection, e.g. by filtering, addition of preservatives.",https://w3id.org/isample/vocabulary/materialsampleobjecttype/fluidincontainer,25,,
141,https://w3id.org/isample/vocabulary/materialsampleobjecttype/researchproduct,Research product,"Material sample is a product of some research workflow, e.g. a thin section, an XRF pellet, a grain mount, SEM stub, synthetic rock or mineral ...  In general there should be a link to a parent material sample from which this was derived.  Might be aggregation (e.g. a synthetic material powder) or a solid object.",https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample,152,,
142,https://w3id.org/isample/earthenv/esmaterialsample/residualmaterial,Residual material,Sample is material remaining after processing to extract some other components of interest from the sample.,https://w3id.org/isample/vocabulary/materialsampleobjecttype/analyticalpreparation,33,,
143,https://w3id.org/isample/earthenv/esmaterialsample/rockhandsample,Rock hand sample,individual peice of rock broken from an outcrop or larger peice of rock.,https://w3id.org/isample/vocabulary/materialsampleobjecttype/solidmaterialsample,1,,
144,https://w3id.org/isample/earthenv/esmaterialsample/mountedsection,Sectioned specimen,a thin slice of a solid material that has been mounted on a glass slide for study,https://w3id.org/isample/vocabulary/materialsampleobjecttype/analyticalpreparation,33,,
145,https://w3id.org/isample/earthenv/esmaterialsample/sitecompositesample,Site composite sample,"an aggregation of peices of uniform material collected over some area (generally greater than 2.5m across). These are the ideal 'representative' samples used in mineral exploration. A composite sample might be collected to determine the background values of trace elements in a particular type of rock, or to determine if ore grade mineralization is present over a large area.",https://w3id.org/isample/earthenv/esmaterialsample/compositesample,113,,
146,https://w3id.org/isample/vocabulary/materialsampleobjecttype/slurrybiomeaggregation,Slurry biome aggregation,"Material sample that consists of mixed organic and inorganic material, including whole organisms and organism fragments.",https://w3id.org/isample/vocabulary/materialsampleobjecttype/biomeaggregation,106,,
147,https://w3id.org/isample/earthenv/esmaterialsample/temgrid,TEM grid,"FIB sections and microtome slices set onto a small grid for handling, transport, and analysis using a transmission electron microscope (TEM). The grid itself can be given a single sample identifier (similar to how there are multiple grains in a grain mount). The linkage from the individual samples in the grid to their parent sample(s) should be documented",https://w3id.org/isample/vocabulary/materialsampleobjecttype/genericaggregation,100,,
148,https://w3id.org/isample/earthenv/esmaterialsample/thicksection,Thick section,"Thick sections are like thin sections, but milled to a greater thickness. Typcially polished on one or both sides and used for fluid or melt inclusion studies, Raman analyses, and infrared spectroscopy analyses, and SEM or electron microprobe. The standard thickness for a fluid inclusion thick section is 50 micrometers, but thick sections can be made at any thickness.  Thick sections can be attached to a glass slide, or can be prepared so that they can be removed from their mount as a stand-alone slice of rock.",https://w3id.org/isample/earthenv/esmaterialsample/mountedsection,144,,
149,https://w3id.org/isample/earthenv/esmaterialsample/ultrathinsection,Ultra thin section,"An ordinary thin section that is attached to the glass slide using a soluble cement such as Canada balsam (soluble in ethanol) to allow both sides to be worked on. The section is polished on both sides using a fine diamond paste until it has a thickness in the range of 2-12 microns. This technique has been used to study the microstructure of very fine-grained carbonate rocks, and also in the preparation of mineral and rock specimens for transmission electron microscopy.",https://w3id.org/isample/earthenv/esmaterialsample/mountedsection,144,,
150,https://w3id.org/isample/vocabulary/materialsampleobjecttype/wholeorganism,Whole organism material sample,"Material sample consists of the bodies of one or more entire organisms of the same species, from any kingdom.",https://w3id.org/isample/vocabulary/materialsampleobjecttype/biologicalmaterialsample,105,,
151,sesot:samplingfeature,Sampling feature,"An entity that is the locus of sample collection. Borehole (hole) and site occur as sample types in the SESAR legacy database, extend the material sample object type to include these features which are not technically samples themself.",,,,
152,https://w3id.org/isample/vocabulary/materialsampleobjecttype/materialsample,Material Sample,A material entity that represents an entity of interest in whole or in part (http://rs.tdwg.org/dwc/terms/MaterialSample). Top concept in material sample object type hierarchy.  Represents any material sample object. ,,,,
153,sesot:terrestrialsection,Terrestrial section,"sampling feature is a section of the near-surface Earth, generally in the critical zone.",sesot:samplingfeature,151,,
